team_id,team_name,country,city,founded_year,stadium_name,season,rank,played,wins,draws,losses,goals_for,goals_against,points,source_api,ingested_at,schema_version,extra_fields
50,Manchester City,England,Manchester,1880,Etihad Stadium,2023,1,38,28,7,3,96,34,91,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
42,Arsenal,England,London,1886,Emirates Stadium,2023,2,38,28,5,5,91,29,89,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
40,Liverpool,England,Liverpool,1892,Anfield,2023,3,38,24,10,4,86,41,82,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
66,Aston Villa,England,Birmingham,1874,Villa Park,2023,4,38,20,8,10,76,61,68,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
47,Tottenham,England,London,1882,Tottenham Hotspur Stadium,2023,5,38,20,6,12,74,61,66,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
49,Chelsea,England,London,1905,Stamford Bridge,2023,6,38,18,9,11,77,63,63,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
34,Newcastle,England,Newcastle upon Tyne,1892,St. James' Park,2023,7,38,18,6,14,85,62,60,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
33,Manchester United,England,Manchester,1878,Old Trafford,2023,8,38,18,6,14,57,58,60,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
48,West Ham,England,London,1895,London Stadium,2023,9,38,14,10,14,60,74,52,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
52,Crystal Palace,England,London,1861,Selhurst Park,2023,10,38,13,10,15,57,58,49,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
51,Brighton,England,"Falmer, East Sussex",1901,American Express Stadium,2023,11,38,12,12,14,55,62,48,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
35,Bournemouth,England,"Bournemouth, Dorset",1899,Vitality Stadium,2023,12,38,13,9,16,54,67,48,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
36,Fulham,England,London,1879,Craven Cottage,2023,13,38,13,8,17,55,61,47,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
39,Wolves,England,"Wolverhampton, West Midlands",1877,Molineux Stadium,2023,14,38,13,7,18,50,65,46,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
45,Everton,England,"Liverpool, Merseyside",1878,Hill Dickinson Stadium,2023,15,38,13,9,16,40,51,40,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
55,Brentford,England,"Brentford, Middlesex",1889,Gtech Community Stadium,2023,16,38,10,9,19,56,65,39,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
65,Nottingham Forest,England,"Nottingham, Nottinghamshire",1865,The City Ground,2023,17,38,9,9,20,49,67,32,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
1359,Luton,England,"Luton, Bedfordshire",1885,Kenilworth Road,2023,18,38,6,8,24,52,85,26,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
44,Burnley,England,Burnley,1882,Turf Moor,2023,19,38,5,9,24,41,78,24,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
62,Sheffield Utd,England,Sheffield,1889,Bramall Lane,2023,20,38,3,7,28,35,104,16,api_sports,2026-04-14T08:00:55.443135,1,"{""group"": ""Premier League""}"
